Position,Location,Gender,Education,Experience (Years),Salary,Salary_in_LPA,Combined_Tokens
"Sr. software engineer/.Net,Azure",Diva - Maharashtra,Female,B.A,28,2000000,20LPA,"['sr', 'software', 'azure', 'diva', 'maharashtra', '2000000 salary', '28 experience (years)']"
Facets SME,Gurugram,Female,B.A,14,2200000,22LPA,"['facets', 'sme', 'gurugram', '2200000 salary', '14 experience (years)']"
Facets SME,New Delhi,Male,B.Tech/B.E.,21,2400000,24LPA,"['facets', 'sme', 'new', 'delhi', '2400000 salary', '21 experience (years)']"
Senior Business Analyst,Kolkata,Male,BCA,21,1400000,14LPA,"['senior', 'business', 'analyst', 'bca', 'kolkata', '1400000 salary', '21 experience (years)']"
Claims SME,Visakhapatnam,Male,B.Sc,6,1400000,14LPA,"['claims', 'sme', 'visakhapatnam', '1400000 salary', '6 experience (years)']"
Sr. Data Ingestion/Analytics Engineer,Kolkata,Male,B.Tech/B.E.,11,2200000,22LPA,"['sr', 'data', 'ingestion', 'analytics', 'engineer', 'kolkata', '2200000 salary', '11 experience (years)']"
Senior Data Program Manager,New Delhi,Male,BCA,8,2500000,25LPA,"['senior', 'data', 'program', 'manager', 'bca', 'new', 'delhi', '2500000 salary', '8 experience (years)']"
IAM Architect,Kolkata,Female,B.Com,8,800000,8LPA,"['iam', 'architect', 'kolkata', '800000 salary', '8 experience (years)']"
Senior Analyst,Pune,Male,B.Com,11,2000000,20LPA,"['senior', 'analyst', 'pune', '2000000 salary', '11 experience (years)']"
Senior Analyst,Kolkata,Female,B.Tech/B.E.,9,1300000,13LPA,"['senior', 'analyst', 'kolkata', '1300000 salary', '9 experience (years)']"
Senior Software Engineer/.Net,New Delhi,Female,B.Tech/B.E.,12,1700000,17LPA,"['senior', 'software', 'new', 'delhi', '1700000 salary', '12 experience (years)']"
Sr. Data Ingestion/Analytics Engineer,New Delhi,Female,B.Com,18,600000,6LPA,"['sr', 'data', 'ingestion', 'analytics', 'engineer', 'new', 'delhi', '600000 salary', '18 experience (years)']"
"Sr. software engineer/.Net,Azure",New Delhi,Male,B.B.A/ B.M.S,15,900000,9LPA,"['sr', 'software', 'azure', 'new', 'delhi', '900000 salary', '15 experience (years)']"
Cloud Architect,New Delhi,Male,BCA,20,2500000,25LPA,"['cloud', 'architect', 'bca', 'new', 'delhi', '2500000 salary', '20 experience (years)']"
Cloud Architect,Pune,Male,B.Tech/B.E.,10,2100000,21LPA,"['cloud', 'architect', 'pune', '2100000 salary', '10 experience (years)']"
"Sr. software engineer/.Net,Azure",Noida,Male,BCA,20,1700000,17LPA,"['sr', 'software', 'azure', 'bca', 'noida', '1700000 salary', '20 experience (years)']"
Sr. Data Platform Engineer,Kolkata,Female,B.B.A/ B.M.S,14,1100000,11LPA,"['sr', 'data', 'platform', 'engineer', 'kolkata', '1100000 salary', '14 experience (years)']"
QNXT technical role,Jaipur,Male,B.Tech/B.E.,19,700000,7LPA,"['qnxt', 'technical', 'role', 'jaipur', '700000 salary', '19 experience (years)']"
QNXT technical role,Kolkata,Male,B.Tech/B.E.,6,800000,8LPA,"['qnxt', 'technical', 'role', 'kolkata', '800000 salary', '6 experience (years)']"
QNXT technical role,Indore,Male,B.Com,5,1500000,15LPA,"['qnxt', 'technical', 'role', 'indore', '1500000 salary', '5 experience (years)']"
"Sr. software engineer/.Net,Azure",Bengaluru,Male,B.Sc,25,1200000,12LPA,"['sr', 'software', 'azure', 'bengaluru', '1200000 salary', '25 experience (years)']"
Java Developer/Spring Boot,Hyderabad,Female,B.Com,17,900000,9LPA,"['java', 'developer', 'spring', 'boot', 'hyderabad', '900000 salary', '17 experience (years)']"
QNXT technical role,Mumbai,Female,B.Com,21,1500000,15LPA,"['qnxt', 'technical', 'role', 'mumbai', '1500000 salary', '21 experience (years)']"
Tapestry Provider Analyst,Noida,Female,B.Tech/B.E.,11,2100000,21LPA,"['tapestry', 'provider', 'analyst', 'noida', '2100000 salary', '11 experience (years)']"
FHIR SME,Bilaspur,Male,BCA,12,1200000,12LPA,"['fhir', 'sme', 'bca', 'bilaspur', '1200000 salary', '12 experience (years)']"
BA Healthcare/SQL,New Delhi,Male,B.Tech/B.E.,18,2100000,21LPA,"['ba', 'healthcare', 'sql', 'new', 'delhi', '2100000 salary', '18 experience (years)']"
BA Healthcare/SQL,Pune,Male,B.Tech/B.E.,14,800000,8LPA,"['ba', 'healthcare', 'sql', 'pune', '800000 salary', '14 experience (years)']"
BA Healthcare/SQL,New Delhi,Female,B.Tech/B.E.,14,800000,8LPA,"['ba', 'healthcare', 'sql', 'new', 'delhi', '800000 salary', '14 experience (years)']"
Sr. .Net developer,Noida,Female,B.Com,16,1800000,18LPA,"['sr', 'developer', 'noida', '1800000 salary', '16 experience (years)']"
Sr. Data Platform Engineer,Pune,Male,B.Tech/B.E.,7,2300000,23LPA,"['sr', 'data', 'platform', 'engineer', 'pune', '2300000 salary', '7 experience (years)']"
Associate Lead Analys,Hyderabad,Male,B.Tech/B.E.,6,1700000,17LPA,"['associate', 'lead', 'analys', 'hyderabad', '1700000 salary', '6 experience (years)']"
Program Manager,Mumbai,Male,B.Com,17,1700000,17LPA,"['program', 'manager', 'mumbai', '1700000 salary', '17 experience (years)']"
Sr. Data Ingestion/Analytics Engineer,Kolkata,Male,B.Com,11,800000,8LPA,"['sr', 'data', 'ingestion', 'analytics', 'engineer', 'kolkata', '800000 salary', '11 experience (years)']"
QNXT technical role,Navi Mumbai,Male,B.Tech/B.E.,21,1100000,11LPA,"['qnxt', 'technical', 'role', 'navi', 'mumbai', '1100000 salary', '21 experience (years)']"
Cloud Architect,New Delhi,Male,BCA,16,1000000,10LPA,"['cloud', 'architect', 'bca', 'new', 'delhi', '1000000 salary', '16 experience (years)']"
Scrum Master,Guwahati,Male,B.Tech/B.E.,11,1900000,19LPA,"['scrum', 'master', 'guwahati', '1900000 salary', '11 experience (years)']"
Cloud Architect,Bengaluru,Male,B.B.A/ B.M.S,20,1200000,12LPA,"['cloud', 'architect', 'bengaluru', '1200000 salary', '20 experience (years)']"
Scrum Master,Bengaluru,Female,B.Com,6,2000000,20LPA,"['scrum', 'master', 'bengaluru', '2000000 salary', '6 experience (years)']"
Scrum Master,Chennai,Male,B.Sc,17,1200000,12LPA,"['scrum', 'master', 'chennai', '1200000 salary', '17 experience (years)']"
QA Engineer,New Delhi,Male,B.Tech/B.E.,8,600000,6LPA,"['qa', 'engineer', 'new', 'delhi', '600000 salary', '8 experience (years)']"
QA Engineer,Bengaluru,Female,BCA,7,1100000,11LPA,"['qa', 'engineer', 'bca', 'bengaluru', '1100000 salary', '7 experience (years)']"
QA Engineer,Gurugram,Male,,28,2400000,24LPA,"['qa', 'engineer', 'gurugram', '2400000 salary', '28 experience (years)']"
Senior Analyst - UI/UX,New Delhi,Male,B.Tech/B.E.,26,1000000,10LPA,"['senior', 'analyst', 'ui', 'ux', 'new', 'delhi', '1000000 salary', '26 experience (years)']"
QA Engineer,Kolkata,Female,B.B.A/ B.M.S,12,1600000,16LPA,"['qa', 'engineer', 'kolkata', '1600000 salary', '12 experience (years)']"
"Tech Lead, DevOps, AWS",Pune,Female,B.Tech/B.E.,21,2400000,24LPA,"['tech', 'lead', 'devops', 'aws', 'pune', '2400000 salary', '21 experience (years)']"
"Tech Lead, DevOps, AWS",New Delhi,Male,B.Tech/B.E.,21,1500000,15LPA,"['tech', 'lead', 'devops', 'aws', 'new', 'delhi', '1500000 salary', '21 experience (years)']"
GCP Engineer,New Delhi,Male,B.Sc,16,1600000,16LPA,"['gcp', 'engineer', 'new', 'delhi', '1600000 salary', '16 experience (years)']"
Business Analyst,New Delhi,Male,BCA,23,2300000,23LPA,"['business', 'analyst', 'bca', 'new', 'delhi', '2300000 salary', '23 experience (years)']"
Business Analyst,Nagpur,Male,B.A,15,2200000,22LPA,"['business', 'analyst', 'nagpur', '2200000 salary', '15 experience (years)']"
FHIR consultant,Noida,Female,B.Tech/B.E.,19,900000,9LPA,"['fhir', 'consultant', 'noida', '900000 salary', '19 experience (years)']"
QA Analyst,Mumbai,Male,B.Sc,21,2100000,21LPA,"['qa', 'analyst', 'mumbai', '2100000 salary', '21 experience (years)']"
QA Analyst,New Delhi,Male,B.Tech/B.E.,23,2000000,20LPA,"['qa', 'analyst', 'new', 'delhi', '2000000 salary', '23 experience (years)']"
FileNet Admin,Tiruchirapalli,Male,B.Tech/B.E.,18,1400000,14LPA,"['filenet', 'admin', 'tiruchirapalli', '1400000 salary', '18 experience (years)']"
FileNet Admin,Mumbai,Female,BCA,21,2000000,20LPA,"['filenet', 'admin', 'bca', 'mumbai', '2000000 salary', '21 experience (years)']"
QNXT technical SME,New Delhi,Male,B.Sc,15,1400000,14LPA,"['qnxt', 'technical', 'sme', 'new', 'delhi', '1400000 salary', '15 experience (years)']"
Project Manager,Pune,Male,B.Tech/B.E.,22,700000,7LPA,"['project', 'manager', 'pune', '700000 salary', '22 experience (years)']"
Sr. Software Enginee/ETL SQL PowerBI,Bengaluru,Female,BCA,16,1400000,14LPA,"['sr', 'software', 'enginee', 'etl', 'sql', 'powerbi', 'bca', 'bengaluru', '1400000 salary', '16 experience (years)']"
QA Engagement Manager,Pune,Male,,13,1800000,18LPA,"['qa', 'engagement', 'manager', 'pune', '1800000 salary', '13 experience (years)']"
Sr. Software Enginee/ETL SQL PowerBI,Pune,Male,B.Tech/B.E.,11,2000000,20LPA,"['sr', 'software', 'enginee', 'etl', 'sql', 'powerbi', 'pune', '2000000 salary', '11 experience (years)']"
Sr. Program manager,Noida,Female,B.Com,14,1200000,12LPA,"['sr', 'program', 'manager', 'noida', '1200000 salary', '14 experience (years)']"
QNXT testing SME,Bengaluru,Male,B.Tech/B.E.,12,1400000,14LPA,"['qnxt', 'testing', 'sme', 'bengaluru', '1400000 salary', '12 experience (years)']"
BA Lead/Project manager,Noida,Male,B.Tech/B.E.,23,900000,9LPA,"['ba', 'lead', 'project', 'manager', 'noida', '900000 salary', '23 experience (years)']"
BA Lead/Project manager,Dindigul,Male,B.Com,23,1700000,17LPA,"['ba', 'lead', 'project', 'manager', 'dindigul', '1700000 salary', '23 experience (years)']"
QA/SDET,Noida,Male,B.Sc,7,1900000,19LPA,"['qa', 'sdet', 'noida', '1900000 salary', '7 experience (years)']"
QA/SDET,Mumbai,Male,B.Sc,18,900000,9LPA,"['qa', 'sdet', 'mumbai', '900000 salary', '18 experience (years)']"
QA Engineer,Bengaluru,Female,B.Tech/B.E.,6,900000,9LPA,"['qa', 'engineer', 'bengaluru', '900000 salary', '6 experience (years)']"
Tech Lead :ÃÂ Ab-initio/ ETL powerBI,Siliguri,Male,Diploma,19,2300000,23LPA,"['tech', 'lead', 'ab', 'etl', 'powerbi', 'diploma', 'siliguri', '2300000 salary', '19 experience (years)']"
Lead QA,Kolkata,Male,BCA,24,1300000,13LPA,"['lead', 'qa', 'bca', 'kolkata', '1300000 salary', '24 experience (years)']"
Product Manager,Hyderabad,Male,B.Tech/B.E.,8,1700000,17LPA,"['product', 'manager', 'hyderabad', '1700000 salary', '8 experience (years)']"
RPA Engineer,Bengaluru,Male,BCA,28,600000,6LPA,"['rpa', 'engineer', 'bca', 'bengaluru', '600000 salary', '28 experience (years)']"
,Mumbai,Male,BCA,9,700000,7LPA,"['bca', 'mumbai', '700000 salary', '9 experience (years)']"
Data Engineer / SQL/SSiS/Python,New Delhi,Male,B.Tech/B.E.,5,2300000,23LPA,"['data', 'engineer', 'sql', 'ssis', 'python', 'new', 'delhi', '2300000 salary', '5 experience (years)']"
QNXT Claims and Enrollment,New Delhi,Male,B.Sc,28,2000000,20LPA,"['qnxt', 'claims', 'and', 'enrollment', 'new', 'delhi', '2000000 salary', '28 experience (years)']"
QNXT Claims and Enrollment,New Delhi,Male,B.Sc,12,1600000,16LPA,"['qnxt', 'claims', 'and', 'enrollment', 'new', 'delhi', '1600000 salary', '12 experience (years)']"
Azure architect,Noida,Male,Diploma,27,800000,8LPA,"['azure', 'architect', 'diploma', 'noida', '800000 salary', '27 experience (years)']"
QNXT Claims and Enrollment,Hyderabad,Female,B.Tech/B.E.,21,2400000,24LPA,"['qnxt', 'claims', 'and', 'enrollment', 'hyderabad', '2400000 salary', '21 experience (years)']"
QNXT Claims and Enrollment,Gurugram,Male,B.B.A/ B.M.S,9,1700000,17LPA,"['qnxt', 'claims', 'and', 'enrollment', 'gurugram', '1700000 salary', '9 experience (years)']"
Provider Disputes Resource,"Noida, Delhi - Uttar Pradesh",Female,B.Sc,13,1500000,15LPA,"['provider', 'disputes', 'resource', 'noida', 'delhi', 'uttar', 'pradesh', '1500000 salary', '13 experience (years)']"
Provider Disputes Resource,Bengaluru,Female,B.Tech/B.E.,26,900000,9LPA,"['provider', 'disputes', 'resource', 'bengaluru', '900000 salary', '26 experience (years)']"
Business Analyst/HRP,Pune,Male,B.A,20,1200000,12LPA,"['business', 'analyst', 'hrp', 'pune', '1200000 salary', '20 experience (years)']"
Human Resources Associate,Mumbai,Male,B.Com,8,2300000,23LPA,"['human', 'resources', 'associate', 'mumbai', '2300000 salary', '8 experience (years)']"
Human Resources Associate,Noida,Male,B.Tech/B.E.,5,2000000,20LPA,"['human', 'resources', 'associate', 'noida', '2000000 salary', '5 experience (years)']"
Incident manager,New Delhi,Male,B.Tech/B.E.,21,1100000,11LPA,"['incident', 'manager', 'new', 'delhi', '1100000 salary', '21 experience (years)']"
Business Analyst/HRP,Navi Mumbai and pune - Maharashtra,Male,B.Sc,23,1600000,16LPA,"['business', 'analyst', 'hrp', 'navi', 'mumbai', 'and', 'pune', 'maharashtra', '1600000 salary', '23 experience (years)']"
Technical Lead/SQL/SSIS/hadoop,Bengaluru,Female,B.A,25,1800000,18LPA,"['technical', 'lead', 'sql', 'ssis', 'hadoop', 'bengaluru', '1800000 salary', '25 experience (years)']"
Technical Lead/SQL/SSIS/hadoop,Lucknow,Female,B.Sc,8,2400000,24LPA,"['technical', 'lead', 'sql', 'ssis', 'hadoop', 'lucknow', '2400000 salary', '8 experience (years)']"
GCP Cloud Architect,Ahmedabad,Male,BCA,10,1500000,15LPA,"['gcp', 'cloud', 'architect', 'bca', 'ahmedabad', '1500000 salary', '10 experience (years)']"
Clinical Data/DevOps,Noida,Female,B.Tech/B.E.,14,1300000,13LPA,"['clinical', 'data', 'devops', 'noida', '1300000 salary', '14 experience (years)']"
Epic Implementation,Bengaluru,Female,B.Tech/B.E.,24,1800000,18LPA,"['epic', 'implementation', 'bengaluru', '1800000 salary', '24 experience (years)']"
Epic Implementation,New Delhi,Female,B.Tech/B.E.,9,2400000,24LPA,"['epic', 'implementation', 'new', 'delhi', '2400000 salary', '9 experience (years)']"
QA manager,Chennai,Male,B.Sc,27,800000,8LPA,"['qa', 'manager', 'chennai', '800000 salary', '27 experience (years)']"
"Sr. Software/.Net, JavaScript",Jamshedpur,Male,B.Tech/B.E.,22,900000,9LPA,"['sr', 'javascript', 'jamshedpur', '900000 salary', '22 experience (years)']"
Enterprise Architect,Pune,Male,B.Com,11,1000000,10LPA,"['enterprise', 'architect', 'pune', '1000000 salary', '11 experience (years)']"
Enterprise Architect,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,BCA,10,1800000,18LPA,"['enterprise', 'architect', 'bca', 'new', 'delhi', 'delhi', 'noida', 'pune', 'delhi', '1800000 salary', '10 experience (years)']"
Azure Architect,New Delhi,Male,B.Sc,7,1100000,11LPA,"['azure', 'architect', 'new', 'delhi', '1100000 salary', '7 experience (years)']"
Azure Architect,Bengaluru,Female,B.Sc,12,1500000,15LPA,"['azure', 'architect', 'bengaluru', '1500000 salary', '12 experience (years)']"
Enterprise Architect,Bengaluru,Female,B.Tech/B.E.,7,500000,5LPA,"['enterprise', 'architect', 'bengaluru', '500000 salary', '7 experience (years)']"
Reimbursement SME,Chennai,Female,B.Tech/B.E.,25,1600000,16LPA,"['reimbursement', 'sme', 'chennai', '1600000 salary', '25 experience (years)']"
Reimbursement SME,Pune,Female,B.Com,17,700000,7LPA,"['reimbursement', 'sme', 'pune', '700000 salary', '17 experience (years)']"
"QA Eng, Phoenix, AZ",Bengaluru,Male,B.Tech/B.E.,10,800000,8LPA,"['qa', 'eng', 'phoenix', 'az', 'bengaluru', '800000 salary', '10 experience (years)']"
"QA Eng, Phoenix, AZ",Chennai,Female,BCA,21,2100000,21LPA,"['qa', 'eng', 'phoenix', 'az', 'bca', 'chennai', '2100000 salary', '21 experience (years)']"
QA manager,Noida,Female,B.Tech/B.E.,11,500000,5LPA,"['qa', 'manager', 'noida', '500000 salary', '11 experience (years)']"
QA manager,Mumbai,Female,B.A,11,700000,7LPA,"['qa', 'manager', 'mumbai', '700000 salary', '11 experience (years)']"
Java Developer/Spring Boot,New Delhi,Male,,24,2300000,23LPA,"['java', 'developer', 'spring', 'boot', 'new', 'delhi', '2300000 salary', '24 experience (years)']"
Product Owner,Visakhapatnam,Female,Diploma,27,700000,7LPA,"['product', 'owner', 'diploma', 'visakhapatnam', '700000 salary', '27 experience (years)']"
Office Manager,Mohali,Male,B.Tech/B.E.,21,1300000,13LPA,"['office', 'manager', 'mohali', '1300000 salary', '21 experience (years)']"
Office Manager,Bengaluru,Male,B.Com,6,1300000,13LPA,"['office', 'manager', 'bengaluru', '1300000 salary', '6 experience (years)']"
Product Owner,Kolkata,Female,B.Com,21,900000,9LPA,"['product', 'owner', 'kolkata', '900000 salary', '21 experience (years)']"
.Net /JavaScript,Bengaluru,Male,B.A,10,2100000,21LPA,"['bengaluru', '2100000 salary', '10 experience (years)']"
Project Manager/ QA Manager,Kanpur,Female,B.Com,26,2100000,21LPA,"['project', 'qa', 'manager', 'kanpur', '2100000 salary', '26 experience (years)']"
Senior Analyst - RPA,Bengaluru,Male,B.A,24,800000,8LPA,"['senior', 'analyst', 'rpa', 'bengaluru', '800000 salary', '24 experience (years)']"
Azure Architect,Gurugram,Male,B.Tech/B.E.,5,2200000,22LPA,"['azure', 'architect', 'gurugram', '2200000 salary', '5 experience (years)']"
Clinical Data/DevOps,Lucknow,Male,B.Com,11,1900000,19LPA,"['clinical', 'data', 'devops', 'lucknow', '1900000 salary', '11 experience (years)']"
Azure architect,Gurugram,Male,B.Tech/B.E.,6,1900000,19LPA,"['azure', 'architect', 'gurugram', '1900000 salary', '6 experience (years)']"
Informatica engineer,Nagpur,Male,B.Tech/B.E.,13,1300000,13LPA,"['informatica', 'engineer', 'nagpur', '1300000 salary', '13 experience (years)']"
Senior Analyst - RPA,Bengaluru,Female,B.Sc,13,1900000,19LPA,"['senior', 'analyst', 'rpa', 'bengaluru', '1900000 salary', '13 experience (years)']"
Product Manager/QA,Nagpur,Male,B.Tech/B.E.,19,2000000,20LPA,"['product', 'manager', 'qa', 'nagpur', '2000000 salary', '19 experience (years)']"
Windchill Sol Architect,Pune,Female,Diploma,7,1300000,13LPA,"['windchill', 'sol', 'architect', 'diploma', 'pune', '1300000 salary', '7 experience (years)']"
FrontEnd JavaScript,New Delhi,Female,BCA,19,2200000,22LPA,"['frontend', 'javascript', 'bca', 'new', 'delhi', '2200000 salary', '19 experience (years)']"
.Net /JavaScript,New Delhi,Male,B.Tech/B.E.,16,900000,9LPA,"['new', 'delhi', '900000 salary', '16 experience (years)']"
.Net /JavaScript,Mumbai,Male,B.Tech/B.E.,12,1800000,18LPA,"['mumbai', '1800000 salary', '12 experience (years)']"
DevOps Eng,Noida,Female,B.Tech/B.E.,6,1500000,15LPA,"['devops', 'eng', 'noida', '1500000 salary', '6 experience (years)']"
DevOps Eng,Noida,Male,B.Com,9,1000000,10LPA,"['devops', 'eng', 'noida', '1000000 salary', '9 experience (years)']"
QNXT Benefits/COB SME,Patna,Male,B.A,16,800000,8LPA,"['qnxt', 'benefits', 'cob', 'sme', 'patna', '800000 salary', '16 experience (years)']"
Technical SME - Edifec,Bengaluru,Female,B.Com,17,2200000,22LPA,"['technical', 'sme', 'edifec', 'bengaluru', '2200000 salary', '17 experience (years)']"
Technical SME - Edifec,Kurnool,Female,B.Com,25,2400000,24LPA,"['technical', 'sme', 'edifec', 'kurnool', '2400000 salary', '25 experience (years)']"
QNXT Configuration SME,work from home banglore - Karnataka,Female,B.B.A/ B.M.S,9,2100000,21LPA,"['qnxt', 'configuration', 'sme', 'work', 'from', 'home', 'banglore', 'karnataka', '2100000 salary', '9 experience (years)']"
Java Developer,Hyderabad,Female,B.A,8,1600000,16LPA,"['java', 'developer', 'hyderabad', '1600000 salary', '8 experience (years)']"
Java Developer,Hyderabad,Male,BCA,22,2300000,23LPA,"['java', 'developer', 'bca', 'hyderabad', '2300000 salary', '22 experience (years)']"
.Net Developer,Noida,Male,B.A,14,2200000,22LPA,"['developer', 'noida', '2200000 salary', '14 experience (years)']"
GCP Architect,Noida,Male,B.Tech/B.E.,25,600000,6LPA,"['gcp', 'architect', 'noida', '600000 salary', '25 experience (years)']"
DevOps Product Owner Role,Noida,Female,B.Tech/B.E.,22,900000,9LPA,"['devops', 'product', 'owner', 'role', 'noida', '900000 salary', '22 experience (years)']"
Project manager,New Delhi,Male,B.A,8,1900000,19LPA,"['project', 'manager', 'new', 'delhi', '1900000 salary', '8 experience (years)']"
IAM Expert,Dehli - Delhi,Female,B.B.A/ B.M.S,20,1000000,10LPA,"['iam', 'expert', 'dehli', 'delhi', '1000000 salary', '20 experience (years)']"
GCP Architect,Hyderabad,Male,Diploma,22,1700000,17LPA,"['gcp', 'architect', 'diploma', 'hyderabad', '1700000 salary', '22 experience (years)']"
Cloud IAM Expert,Noida,Male,B.Tech/B.E.,11,1100000,11LPA,"['cloud', 'iam', 'expert', 'noida', '1100000 salary', '11 experience (years)']"
.Net Architect,Dhanbad,Male,B.Tech/B.E.,20,600000,6LPA,"['architect', 'dhanbad', '600000 salary', '20 experience (years)']"
Enterprise Architect,New Delhi,Male,B.Tech/B.E.,19,2200000,22LPA,"['enterprise', 'architect', 'new', 'delhi', '2200000 salary', '19 experience (years)']"
Enterprise Architect,New Delhi,Male,B.Tech/B.E.,22,1500000,15LPA,"['enterprise', 'architect', 'new', 'delhi', '1500000 salary', '22 experience (years)']"
Enterprise Architect,Bengaluru,Male,B.A,9,800000,8LPA,"['enterprise', 'architect', 'bengaluru', '800000 salary', '9 experience (years)']"
Salesforce Architect,Pune,Female,B.Tech/B.E.,7,1500000,15LPA,"['salesforce', 'architect', 'pune', '1500000 salary', '7 experience (years)']"
